group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G45,11,1,Q9Y3N9,SML0544,CCSSCC,CETBSQOFQKLHHZ-UHFFFAOYSA-N,alliaceous; tropical; ripe; onion; garlic; fruity; vegetable; sulfurous,8,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G37,8,2,O76001; Q9Y3N9,SML0006,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,musty; fermented; pear; sweet; fruity; alcoholic; apple,7,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0115,C1=CN=CC=N1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,musty; pungent; hazelnut; nutty; sweet; roasted,6,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0130,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,pungent; fishy; oily; fruity,4,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0213,CCCCCOC(=O)CCC,CFNJLPHOBMVMNS-UHFFFAOYSA-N,tropical; pineapple; sweet; banana; fruity; cherry,6,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0353,CCOC(=O)C(C)C,WDAXFOBOLVPGLV-UHFFFAOYSA-N,rummy; pungent; rum; sweet; fruity; ethereal; alcoholic; apple,8,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0464,CC(C)CN,KDSNLYIMUZNERS-UHFFFAOYSA-N,cheesy; ripe; fishy; malty,4,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0468,CC(C)CCN,BMFVGAAISNGQNM-UHFFFAOYSA-N,cheesy,1,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G37,8,2,O76001; Q9Y3N9,SML0480,CCCCCCCOC(=O)C(C)C,RFDUMBPGZUIKOG-UHFFFAOYSA-N,estery; apricot; herbal; tropical; warm; peach; pineapple; sweet; floral; green; fruity; cherry; apple,13,alcoholic; apple; apricot; banana; cheesy; cherry; estery; ethereal; fermented; fishy; floral; fruity; green; hazelnut; herbal; malty; musty; nutty; oily; peach; pear; pineapple; pungent; ripe; roasted; rum; rummy; sweet; tropical; warm
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0183,CC/C=C\CCCCCC=O,UZFFFFWQKMPLAC-ARJAWSKDSA-N,cucumber; citrus; aldehydic,3,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
