inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
CZCBTSFUTPZVKJ-NXEZZACHSA-N,CC(C)=C[C@@H]1C[C@H](C)CCO1,0,,1,1712087,1,1712087,CZCBTSFUTPZVKJ,0,0,1,
JXJIQCXXJGRKRJ-KOOBJXAQSA-N,CC(=O)/C=C/C=C(\C)CCC=C(C)C,0,,1,1757003,1,1757003,JXJIQCXXJGRKRJ,1,1,1,CHEMBL4469540
NCCCTQRHFVSOMP-UHFFFAOYSA-N,CC(S)c1cccs1,0,,1,2724626,1,2724626,NCCCTQRHFVSOMP,0,0,1,
HRHOWZHRCRZVCU-AATRIKPKSA-N,CCC/C=C/COC(C)=O,0,,1,2733294,1,2733294,HRHOWZHRCRZVCU,1,1,1,CHEMBL2251453
YGBXXWTZWLALGR-UHFFFAOYSA-N,Cc1oc2ccccc2c1C,0,,1,2734646,1,2734646,YGBXXWTZWLALGR,0,0,1,
KEGIMMCZWZCLGJ-UHFFFAOYSA-N,CCCCCCCCCCOC(=O)CCCCCCCC,0,,1,2829318,0,,KEGIMMCZWZCLGJ,0,0,1,
LSKGUOZAKOLOMT-UHFFFAOYSA-N,CC(C)=CCCC(C)CC1OCC(C)O1,0,,1,2839799,0,,LSKGUOZAKOLOMT,0,0,1,
JNIBZUYKQDGFIT-UHFFFAOYSA-N,Cc1ccc(C)c(NC(=O)C(C)Sc2ccccc2)c1,0,,1,2891065,0,,JNIBZUYKQDGFIT,0,0,1,
YBUMUFVIEWSXLA-UHFFFAOYSA-N,CCOC(=O)CC=C(C)C,0,,1,3014523,0,,YBUMUFVIEWSXLA,0,0,1,
FYGXDINYRBSPIK-UHFFFAOYSA-N,CC(=O)OC(C)C1CC=C(C)C1(C)C,0,,1,3015865,0,,FYGXDINYRBSPIK,0,0,1,
QOJMQILDLLFGEE-UHFFFAOYSA-N,CCCCc1nccs1,0,,1,3015925,1,3015925,QOJMQILDLLFGEE,0,0,1,
AGRIHDPBJMXWRQ-UHFFFAOYSA-N,CC1OCC=C1SC1(S)CCOC1C,0,,1,3015972,0,,AGRIHDPBJMXWRQ,0,0,1,
VIVJHDGDCOQORO-UHFFFAOYSA-N,CCCC(CC=O)SC,0,,1,3015979,1,3015979,VIVJHDGDCOQORO,0,0,1,
OXAOBBCFHBVRBD-UHFFFAOYSA-N,CCOC(=O)C(C)SC,0,,1,3016224,0,,OXAOBBCFHBVRBD,0,0,1,
JLURSSXMQSLZQL-UHFFFAOYSA-N,CCOC(=O)C(C)(C)SC,0,,1,3016499,1,3016499,JLURSSXMQSLZQL,0,0,1,
AILFSZXBRNLVHY-UHFFFAOYSA-N,CCOC1=C(C)OC(C)C1=O,0,,1,3017596,1,3017596,AILFSZXBRNLVHY,0,0,1,
JSLADQCPHDFYDG-UHFFFAOYSA-N,COCC(C)c1ccccc1,0,,1,3017624,0,,JSLADQCPHDFYDG,0,0,1,
UCCSPJPIAZEQQQ-UHFFFAOYSA-N,CC(=O)C1NCCS1,0,,1,3017762,0,,UCCSPJPIAZEQQQ,0,0,1,
