pattern,tag,obs,exp,obs_exp,p
110,fruity,3,4.67,0.6426035502958579,0.9075508443130541
110,floral,5,4.02,1.243131868131868,0.3715418917026475
110,green,4,3.73,1.0710059171597635,0.5432775490751824
110,fatty,4,2.8,1.428007889546351,0.2974591547945895
110,waxy,2,2.8,0.7140039447731755,0.8155578860787922
110,woody,1,2.08,0.480106100795756,0.9052610946708216
110,fresh,3,2.08,1.4403183023872679,0.3461719711393132
110,herbal,0,1.65,0.0,1.0
110,balsamic,3,1.58,1.8986013986013985,0.1982525548510953
110,citrus,0,1.51,0.0,1.0
110,spicy,0,1.36,0.0,1.0
110,cheesy,0,1.22,0.0,1.0
110,rose,2,1.15,1.7403846153846154,0.3220296173026388
110,powdery,3,1.15,2.6105769230769234,0.09373869446753802
110,creamy,3,1.08,2.7846153846153845,0.07956256458181003
110,tropical,2,1.01,1.9890109890109888,0.2649691602993925
110,sour,0,1.01,0.0,1.0
110,banana,0,1.01,0.0,1.0
110,oily,4,0.93,4.284023668639054,0.00809785364542378
110,apple,1,0.93,1.0710059171597635,0.6335751303569672
110,vegetable,0,0.93,0.0,1.0
110,aldehydic,1,0.93,1.0710059171597635,0.6335751303569672
110,nutty,2,0.86,2.3205128205128203,0.20860785850451136
110,musk,2,0.79,2.5314685314685317,0.18114741213402039
110,dairy,2,0.79,2.5314685314685317,0.18114741213402039
110,pineapple,0,0.79,0.0,1.0
110,coconut,3,0.72,4.176923076923076,0.026088720266055763
110,sulfurous,0,0.72,0.0,1.0
110,sharp,2,0.72,2.7846153846153845,0.1544562978802557
110,earthy,1,0.72,1.3923076923076922,0.5348046759964036
110,odorless,0,0.72,0.0,1.0
110,pear,0,0.65,0.0,1.0
110,pungent,0,0.65,0.0,1.0
110,honey,1,0.65,1.547008547008547,0.4967698381847888
110,animal,1,0.65,1.547008547008547,0.4967698381847888
110,plum,0,0.57,0.0,1.0
110,berry,0,0.57,0.0,1.0
110,tobacco,0,0.57,0.0,1.0
110,phenolic,0,0.57,0.0,1.0
110,camphoreous,0,0.57,0.0,1.0
110,musty,0,0.57,0.0,1.0
110,meaty,0,0.57,0.0,1.0
110,minty,0,0.57,0.0,1.0
110,jasmine,0,0.57,0.0,1.0
110,pine,0,0.5,0.0,1.0
110,burnt,0,0.5,0.0,1.0
110,melon,1,0.5,1.9890109890109888,0.41194742504031495
110,cherry,1,0.5,1.9890109890109888,0.41194742504031495
110,orange,0,0.5,0.0,1.0
110,milky,2,0.43,4.6410256410256405,0.060777196511220356
