node,tag,obs,exp,obs_exp,p
4,potato,0,2.0,0.0,1.0
4,peach,4,2.0,2.0047058823529413,0.08378416016591535
4,savory,2,2.0,1.0023529411764707,0.6638732373576118
4,grape,1,2.0,0.5011764705882353,0.9240806583467102
4,lemon,2,2.0,1.0023529411764707,0.6638732373576118
4,apricot,3,2.0,1.503529411764706,0.3141544635482637
4,leafy,3,2.0,1.503529411764706,0.3141544635482637
5,sweet,49,42.79,1.1451612903225805,0.05666642509069789
5,fruity,47,35.89,1.3096546310832027,0.001210986827632019
5,green,30,29.45,1.018813775510204,0.49290550656218024
5,floral,28,26.69,1.0492610837438423,0.4000818969971254
5,fatty,37,24.38,1.5173276857912976,5.3736116966004856e-05
5,waxy,36,20.7,1.7387755102040816,1.9677594956481974e-07
5,fresh,16,17.02,0.9398786541643684,0.7088198090206921
5,woody,10,14.26,0.7011191573403555,0.9696485507702078
5,herbal,9,12.88,0.6986151603498543,0.9641813311555928
5,citrus,16,11.96,1.337519623233909,0.06879831898757327
5,oily,17,11.04,1.5395408163265307,0.008596635822897738
5,balsamic,7,10.58,0.6614906832298136,0.9665213691184197
5,cheesy,15,10.12,1.4819109461966606,0.023785260958769153
5,creamy,19,9.66,1.966472303206997,1.0944692269831646e-05
5,spicy,5,9.2,0.5433673469387755,0.9884461450544175
5,vegetable,7,8.74,0.8007518796992481,0.8604822395073453
5,rose,12,8.74,1.3727175080558538,0.09180424847580423
5,aldehydic,9,8.28,1.086734693877551,0.45502048380208715
5,tropical,11,8.28,1.3282312925170068,0.13655193979650762
5,nutty,5,8.28,0.6037414965986395,0.9715174363521971
5,powdery,6,7.82,0.7671068427370948,0.8813002343956527
5,dairy,13,7.82,1.6620648259303723,0.00833652761819122
5,sour,10,7.36,1.3584183673469388,0.13245941083811902
5,apple,9,6.9,1.3040816326530613,0.1951035469035583
5,banana,8,6.44,1.2419825072886297,0.27779380650993823
5,sulfurous,2,5.98,0.33437990580847726,0.996818591755251
5,musk,7,5.52,1.267857142857143,0.27903347928024974
5,pineapple,9,5.52,1.6301020408163267,0.03720591269822396
5,pungent,4,5.52,0.7244897959183674,0.8870573978104155
5,earthy,3,5.52,0.5433673469387755,0.9676035391000646
5,coconut,12,5.52,2.173469387755102,6.117461908529389e-05
5,odorless,6,5.06,1.1855287569573285,0.39055647082937583
5,musty,4,5.06,0.7903525046382189,0.8334227009236163
