smiles_id,cluster,class_group,inchikey,row,in_universe
SML0282,3,,XPCTZQVDEJYUGT-UHFFFAOYSA-N,725790,True
SML0283,4,,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,726221,True
SML0284,1,Class I only,VTAPYUYITKYXJB-UHFFFAOYSA-N,725291,True
SML0288,3,,RLSSMJSEOOYNOY-UHFFFAOYSA-N,724485,True
SML0289,2,Class I only,XMIIGOLPHOKFCH-UHFFFAOYSA-N,725763,True
SML0290,5,,TYZFMFVWHZKYSE-UHFFFAOYSA-N,724890,True
SML0291,5,,JUCARGIKESIVLB-UHFFFAOYSA-N,722593,True
SML0292,0,shared,WTWBUQJHJGUZCY-UHFFFAOYSA-N,725578,True
SML0293,3,,YOMSJEATGXXYPX-UHFFFAOYSA-N,726026,True
SML0294,3,,FUGYGGDSWSUORM-UHFFFAOYSA-N,721635,True
SML0295,2,Class I only,PWKJMPFEQOHBAC-UHFFFAOYSA-N,724106,True
SML0296,3,,HXDOZKJGKXYMEW-UHFFFAOYSA-N,722134,True
SML0297,4,shared,CBOQJANXLMLOSS-UHFFFAOYSA-N,720935,True
SML0298,5,,XVHGKKGBUDMTIQ-UHFFFAOYSA-N,725843,True
SML0299,4,shared,GNKZMNRKLCTJAY-UHFFFAOYSA-N,721808,True
SML0300,3,,IWDCLRJOBJJRNH-UHFFFAOYSA-N,722359,True
SML0301,4,shared,PXIKRTCSSLJURC-UHFFFAOYSA-N,724114,True
SML0302,0,,GWCRPYGYVRXVLI-UHFFFAOYSA-N,721889,True
SML0303,4,Class II only,LIIALPBMIOVAHH-UHFFFAOYSA-N,722972,True
SML0304,3,,NVLPQIPTCCLBEU-UHFFFAOYSA-N,723621,True
SML0306,0,shared,WJSDHUCWMSHDCR-VMPITWQZSA-N,725440,True
SML0307,0,shared,OOCCDEMITAIZTP-QPJJXVBHSA-N,723785,True
SML0308,3,Class I only,PFRGXCVKLLPLIP-UHFFFAOYSA-N,723953,True
SML0310,5,,YWHLKYXPLRWGSE-UHFFFAOYSA-N,726100,True
