SML,SMILES,InChIKey,Odors
SML0168,CC1=CC[C@H](CC1=O)C(=C)C,ULDHMXUKGWMISQ-SECBINFHSA-N,"minty, herbal, sweet"
SML0169,CC(=CCC/C(=C/C(OC)OC)/C)C,ZSKAJFSSXURRGL-PKNBQFBNSA-N,"lemon, citrus"
SML0170,COC1=CC=CC=C1,RDOXTESZEPMUJZ-UHFFFAOYSA-N,"anise, phenolic, anisic, sweet, gasoline, ethereal"
SML0171,CC(C)CCOC(=O)C,MLFHJEHSLIIPHL-UHFFFAOYSA-N,"estery, ripe, solvent, pear, sweet, banana, fruity"
SML0172,C[C@@H](CCC=C(C)C)CCO,QMVPMAAFGQKVCJ-JTQLQIEISA-N,"geranium, powdery, citrus, sweet, floral, rose, green, waxy, fruity"
SML0173,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,"fishy, animal"
SML0174,C[C@H](CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-SNVBAGLBSA-N,"herbal, lemon, citrus, fresh, green, woody"
SML0175,CCC(C(=O)O)Br,YAQLSKVCTLCIIE-UHFFFAOYSA-N,
SML0176,CCC(C)C(=O)O,WLAMNBDJUVNPJU-UHFFFAOYSA-N,"acidic, cheesy, pungent, fermented, fruity"
SML0177,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,POIARNZEYGURDG-FNORWQNLSA-N,"raspberry, natural, tobacco, tea, grape, plum, sweet, floral, earthy, rose, green, woody, fruity, apple"
SML0178,CCCCC/C=C/C=C/C=O,JZQKTMZYLHNFPL-BLHCBFLLSA-N,"cucumber, fatty, chicken, oily, melon, citrus, nutty, brothy"
SML0179,CC/C=C\CC/C=C/C=O,HZYHMHHBBBSGHB-ODYTWBPASA-N,"cucumber, fatty, violet, melon, leafy, dry, green, vegetable"
